Wavelength,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6
190,269.429,257.199,63.62,57.143,157.323,75.832
190.5,266.651,254.819,63.687,56.589,158.45,76.23
191,264.722,253.536,63.559,56.428,159.051,76.634
191.5,262.999,252.718,63.41,56.362,158.934,77.818
192,261.976,250.857,62.819,56.078,159.288,77.246
192.5,259.567,249.215,62.466,56.015,157.685,76.878
193,258.842,248.141,62.393,55.669,157.064,75.546
193.5,256.659,246.655,62.796,56.092,155.426,75.292
194,252.186,244.093,62.372,56.363,155.066,74.84
194.5,248.82,242.073,62.362,56.647,155.079,74.195
195,246.143,239.881,62.261,55.811,154.358,74.8
195.5,244.06,237.449,61.989,55.385,154.651,75.186
196,241.517,235.517,61.825,55.151,154.199,75.369
196.5,239.742,233.225,61.653,54.805,153.864,75.163
197,238.465,229.738,61.117,54.244,153.525,74.583
197.5,235.491,226.537,60.71,53.913,152.238,74.173
198,233.293,224.191,60.4,53.918,150.964,74.035
198.5,230.655,223.024,60.138,53.909,150.177,73.772
199,228.047,221.666,59.849,54.041,150.333,73.595
199.5,226.652,221.17,59.413,53.88,149.735,73.621
200,225.884,220.277,59.316,53.613,148.425,73.783
200.5,224.981,218.894,59.121,53.244,148.015,73.824
201,223.879,217.91,58.872,52.889,147.944,73.744
201.5,223.258,217.075,58.702,52.709,147.716,73.961
202,222.888,215.73,58.62,52.547,147.735,73.967
202.5,221.473,213.893,58.741,52.741,147.382,74.057
203,220.602,212.579,58.948,52.801,146.862,74.146
203.5,219.295,212.782,59.154,52.972,147.171,74.116
204,219.619,213.671,58.994,53.088,147.19,73.981
204.5,219.882,214.594,59.12,52.914,146.622,74.085
205,220.022,214.413,58.981,52.752,146.186,74.194
205.5,219.415,213.32,58.867,52.838,146.655,74.133
206,219.47,212.938,58.314,52.959,146.927,74.202
206.5,219.387,213.024,58.359,52.999,147.029,73.829
207,218.926,212.221,58.283,52.978,146.761,73.735
207.5,217.829,211.273,58.531,52.892,146.533,73.79
208,217.04,209.926,58.475,52.771,146.135,73.814
208.5,215.88,210.217,58.453,52.761,145.556,73.604
209,214.814,210.001,58.208,52.338,145.318,73.234
209.5,213.149,209.519,58.454,52.227,145.075,73.52
210,211.624,208.07,58.393,52.196,144.619,73.402
210.5,210.077,206.725,58.554,52.401,144.511,73.307
211,208.877,204.973,58.39,52.383,144.252,73.055
211.5,207.774,203.627,58.415,52.246,144.096,72.976
212,206.169,201.663,58.038,51.743,143.827,72.846
212.5,205.832,199.696,57.942,51.613,143.565,72.368
213,205.167,197.903,57.487,51.491,143.261,71.646
213.5,203.463,196.567,57.02,50.915,142.563,71.03
214,201.797,195.086,56.226,50.478,142.367,70.863
214.5,200.271,193.83,56.013,50.333,141.827,70.603
215,198.61,191.917,55.785,50.178,140.83,70.196
215.5,196.173,190.328,55.344,49.828,140.233,70.007
216,194.184,188.471,55.037,49.648,139.712,70.079
216.5,191.841,186.981,54.663,49.459,139.073,69.807
217,189.894,185.561,54.443,49.079,138.024,69.087
217.5,188.558,184.091,54.329,48.984,136.87,68.537
218,187.164,182.772,53.987,48.557,135.841,67.977
218.5,184.909,180.799,53.659,48.176,134.572,67.639
219,183.428,179.27,53.33,48.02,133.816,67.296
219.5,181.789,177.391,53.162,47.797,132.874,66.666
220,179.557,175.353,52.655,47.381,131.745,66.349
220.5,177.421,173.28,52.361,47.044,131.007,66.215
221,175.84,171.569,52.038,46.737,130.23,66.051
221.5,173.917,169.875,51.634,46.373,129.013,65.427
222,172.458,168.225,51.261,45.841,127.653,64.849
222.5,170.65,166.328,50.569,45.217,126.579,64.238
223,168.774,164.254,49.752,44.605,125.318,63.395
223.5,166.14,161.581,49.063,44.156,123.978,62.57
224,163.523,158.806,48.342,43.584,122.595,61.703
224.5,160.387,155.851,47.282,42.835,120.946,60.867
225,156.873,152.707,46.633,42.082,119.237,60.166
225.5,153.391,149.354,45.985,41.431,117.581,59.367
226,149.975,145.856,45.247,40.713,115.877,58.468
226.5,146.346,142.445,44.482,39.989,113.898,57.482
227,143.122,139.295,43.704,39.326,112.063,56.585
227.5,140.544,136.877,42.896,38.56,110.288,55.453
228,138.557,134.954,42.132,38.065,108.589,54.459
228.5,136.904,133.334,41.513,37.604,107.026,53.694
229,135.687,132.107,40.852,37.093,105.706,52.95
229.5,134.557,131.161,40.273,36.655,104.467,52.26
230,133.449,130.172,39.91,36.177,103.214,51.64
230.5,131.987,128.717,39.428,35.746,101.995,50.93
231,129.973,126.657,38.792,35.249,100.67,50.307
231.5,127.482,124.202,38.133,34.682,99.226,49.542
232,124.801,121.649,37.43,34.116,97.665,48.773
232.5,122.279,119.264,36.76,33.553,96.105,47.974
233,119.893,117.095,36.186,33.072,94.656,47.309
233.5,117.592,115.016,35.625,32.603,93.25,46.656
234,115.55,113.036,35.065,32.129,91.929,45.933
234.5,113.996,111.439,34.635,31.718,90.685,45.3
235,112.812,110.252,34.318,31.392,89.54,44.784
235.5,111.728,109.122,33.93,30.981,88.57,44.3
236,110.742,108.133,33.597,30.682,87.658,43.927
236.5,109.667,106.916,33.268,30.385,86.799,43.435
237,108.565,105.81,32.984,30.064,85.98,42.992
237.5,107.445,104.742,32.706,29.851,85.214,42.64
238,106.424,103.861,32.436,29.596,84.433,42.326
238.5,105.171,102.719,32.194,29.402,83.673,42.076
239,104.04,101.589,31.977,29.229,82.988,41.841
239.5,102.885,100.486,31.809,29.069,82.303,41.634
240,101.718,99.447,31.597,28.948,81.739,41.411
240.5,100.705,98.458,31.408,28.738,81.221,41.174
241,100.07,97.89,31.257,28.599,80.78,40.916
241.5,99.85,97.57,31.126,28.426,80.441,40.628
242,99.963,97.76,31.067,28.284,80.105,40.41
242.5,100.28,98.088,31.022,28.218,79.834,40.277
243,100.724,98.532,30.99,28.18,79.576,40.174
243.5,100.986,98.654,30.998,28.17,79.383,40.209
244,100.922,98.515,30.987,28.148,79.169,40.262
244.5,100.132,97.77,30.984,28.133,78.981,40.243
245,99.169,96.773,30.907,28.118,78.897,40.143
245.5,98.329,95.916,30.85,28.087,78.872,40.095
246,97.939,95.592,30.838,28.039,78.842,40.02
246.5,98.091,95.793,30.792,28.026,78.85,39.923
247,98.608,96.411,30.865,28.05,78.784,39.929
247.5,99.487,97.312,30.985,28.055,78.784,39.923
248,100.525,98.406,31.036,28.164,78.826,39.975
248.5,101.516,99.445,31.165,28.223,78.841,40.143
249,102.161,100.131,31.305,28.312,78.887,40.357
249.5,102.117,100.194,31.437,28.438,78.976,40.513
250,101.775,99.971,31.547,28.544,79.201,40.64
250.5,101.498,99.806,31.65,28.669,79.414,40.715
251,101.664,99.974,31.689,28.785,79.653,40.703
251.5,101.906,100.191,31.744,28.794,79.909,40.694
252,102.437,100.647,31.9,28.888,79.974,40.797
252.5,103.259,101.334,31.936,28.898,80.159,40.799
253,104.212,102.28,31.999,29.054,80.281,40.98
253.5,105.109,103.181,32.067,29.175,80.382,41.152
254,105.809,103.81,32.089,29.308,80.592,41.335
